"No.","Time","Source","Destination","Protocol","Length","Info"
"114","0.396220","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=57735 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"115","0.397032","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=59105 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"116","0.397634","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=60475 Win=626 Len=0"
"117","0.403192","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=60475 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"118","0.403193","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=61845 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"119","0.403197","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=63215 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"120","0.404072","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=63215 Win=626 Len=0"
"121","0.404418","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=64585 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"122","0.404422","2a02:1788:2fd::b2ff:5301","2405:204:919e:7f6f:c9a4:1a10:85cb:e7af","TCP","86","80  >  55382 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1370 SACK_PERM=1 WS=512"
"123","0.404821","2405:204:919e:7f6f:c9a4:1a10:85cb:e7af","2a02:1788:2fd::b2ff:5301","TCP","74","55382  >  80 [ACK] Seq=1 Ack=1 Win=17408 Len=0"
"124","0.405147","2405:204:919e:7f6f:c9a4:1a10:85cb:e7af","2a02:1788:2fd::b2ff:5301","HTTP","316","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBR8sWZUnKvbRO5iJhat9GV793rVlAQUrb2YejS0Jvf6xCZU7wO94CTLVBoCEENSAj%2F6qJAfE5%2Fj9OXBRE4%3D HTTP/1.1 "
"125","0.405185","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=65955 Win=626 Len=0"
"126","0.418915","205.185.216.10","192.168.43.243","TCP","54","80  >  55307 [ACK] Seq=61441 Ack=447 Win=60 Len=0"
"127","0.420832","205.185.216.10","192.168.43.243","TCP","444","80  >  55307 [PSH, ACK] Seq=61441 Ack=447 Win=60 Len=390 [TCP segment of a reassembled PDU]"
"128","0.422316","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=61831 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"129","0.422317","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=63201 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"130","0.422861","205.185.216.10","192.168.43.243","TCP","1410","80  >  55307 [PSH, ACK] Seq=64571 Ack=447 Win=60 Len=1356 [TCP segment of a reassembled PDU]"
"131","0.423103","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=63201 Win=2825 Len=0"
"132","0.423491","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=65927 Win=2825 Len=0"
"133","0.424902","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=65927 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"134","0.426673","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=67297 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"135","0.426675","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=68667 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"136","0.427281","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=68667 Win=2825 Len=0"
"137","0.429184","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=70037 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"138","0.429186","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=71407 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"139","0.429189","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=72777 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"140","0.429931","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=71407 Win=2825 Len=0"
"141","0.430259","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=74147 Win=2825 Len=0"
"142","0.431533","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=74147 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"143","0.431535","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=75517 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"144","0.432225","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=76887 Win=2825 Len=0"
"145","0.438683","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=76887 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"146","0.438684","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=78257 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"147","0.438688","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=79627 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"148","0.438689","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=80997 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"149","0.439751","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=79627 Win=2825 Len=0"
"150","0.440202","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=82367 Win=2825 Len=0"
"151","0.441387","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=82367 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"152","0.441676","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=83737 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"153","0.442149","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=85107 Win=2825 Len=0"
"154","0.442478","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=85107 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"155","0.442483","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=86477 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"156","0.442484","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=87847 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"157","0.443456","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=87847 Win=2825 Len=0"
"158","0.446613","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=89217 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"159","0.447149","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=90587 Win=2825 Len=0"
"160","0.452672","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=90587 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"161","0.458485","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=91957 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"162","0.458983","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=93327 Win=2825 Len=0"
"163","0.460943","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=93327 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"164","0.461269","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=94697 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"165","0.461569","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=96067 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"166","0.461891","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=97437 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"167","0.462238","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=96067 Win=2825 Len=0"
"168","0.462549","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=98807 Win=2825 Len=0"
"169","0.464701","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=98807 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"170","0.465078","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=100177 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"171","0.465538","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=101547 Win=2825 Len=0"
"172","0.467553","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=101547 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"173","0.471927","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=102917 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"174","0.471928","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=104287 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"175","0.471932","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=105657 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"176","0.472711","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=104287 Win=2825 Len=0"
"177","0.473130","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=107027 Win=2825 Len=0"
"178","0.475466","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=107027 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"179","0.475836","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=108397 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"180","0.476899","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=447 Ack=109767 Win=2825 Len=0"
"181","0.477335","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=109767 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"182","0.478122","205.185.216.10","192.168.43.243","TCP","1424","80  >  55307 [ACK] Seq=111137 Ack=447 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
